year,life_exp,population,pm
2004,78.7463414634146,59987905.0,9.3100004
2005,79.0487804878049,60401206.0,9.5799999
2006,79.2487804878049,60846820.0,9.6300001
2007,79.4487804878049,61322463.0,9.5600004
2008,79.6,61806995.0,9.1199999
2009,80.0512195121951,62276270.0,9.2799997
2010,80.4024390243902,62766365.0,10.59
2011,80.9512195121951,63258810.0,10.52
2012,80.9048780487805,63700215.0,9.1099997
2013,81.0048780487805,64128273.0,10.23
2014,81.3048780487805,64602298.0,9.6899996
2015,80.9560975609756,65116219.0,8.04
2016,81.1560975609756,65611593.0,8.6000004
2017,81.2560975609756,66058859.0,8.25
2018,81.2560975609756,66460344.0,8.5699997
