,country,year,life_exp,population,pm
2385,MDV,1998,69.572,273796.0,8.3500004
2386,MDV,1999,70.088,278111.0,9.4799995
2387,MDV,2000,70.876,282507.0,10.19
2388,MDV,2001,72.181,287324.0,10.62
2389,MDV,2002,73.291,292284.0,11.0
2390,MDV,2003,74.06,297226.0,12.26
2391,MDV,2004,73.538,302135.0,12.14
2392,MDV,2005,74.751,307018.0,11.15
2393,MDV,2006,75.13,314401.0,12.01
2394,MDV,2007,75.686,325126.0,15.06
2395,MDV,2008,76.543,336883.0,13.39
2396,MDV,2009,77.069,349037.0,14.07
2397,MDV,2010,77.657,361575.0,12.07
2398,MDV,2011,78.124,374440.0,15.28
2399,MDV,2012,78.682,387539.0,12.66
2400,MDV,2013,79.057,400728.0,13.02
2401,MDV,2014,79.424,416738.0,13.82
2402,MDV,2015,79.695,435582.0,12.3
2403,MDV,2016,79.872,454252.0,15.21
2404,MDV,2017,79.943,472442.0,14.01
2405,MDV,2018,80.013,489758.0,14.63
