year,life_exp,population,pm
2004,77.6707317073171,10483861.0,7.8400002
2005,78.0707317073171,10503330.0,9.8800001
2006,78.419512195122,10522288.0,8.1700001
2007,78.3219512195122,10542964.0,8.04
2008,78.5243902439025,10558177.0,5.23
2009,78.7268292682927,10568247.0,5.8899999
2010,79.0268292682927,10573100.0,5.8000002
2011,80.4707317073171,10557560.0,6.1100001
2012,80.3731707317073,10514844.0,5.3800001
2013,80.7219512195122,10457295.0,5.98
2014,81.1219512195122,10401062.0,5.0700002
2015,81.1243902439025,10358076.0,5.8400002
2016,81.1243902439025,10325452.0,5.9699998
2017,81.4243902439025,10300300.0,6.2800002
2018,81.3243902439024,10283822.0,5.27
