,country,year,life_exp,population,pm
21,AFG,1998,52.943,18493132.0,10.56
22,AFG,1999,54.846,19262847.0,10.34
23,AFG,2000,55.298,19542982.0,11.6
24,AFG,2001,55.798,19688632.0,13.72
25,AFG,2002,56.454,21000256.0,13.31
26,AFG,2003,57.344,22645130.0,13.61
27,AFG,2004,57.944,23553551.0,12.31
28,AFG,2005,58.361,24411191.0,13.78
29,AFG,2006,58.684,25442944.0,14.18
30,AFG,2007,59.111,25903301.0,13.53
31,AFG,2008,59.852,26427199.0,14.45
32,AFG,2009,60.364,27385307.0,14.76
33,AFG,2010,60.851,28189672.0,14.78
34,AFG,2011,61.419,29249157.0,18.01
35,AFG,2012,61.923,30466479.0,16.07
36,AFG,2013,62.417,31541209.0,14.64
37,AFG,2014,62.545,32716210.0,15.17
38,AFG,2015,62.659,33753499.0,15.72
39,AFG,2016,63.136,34636207.0,15.77
40,AFG,2017,63.016,35643418.0,14.91
41,AFG,2018,63.081,36686784.0,13.71
