,year,life_exp,population,pm
126,1998,70.514,3240550.0,16.530001
127,1999,70.257,3206030.0,16.129999
128,2000,70.624,3168523.0,17.73
129,2001,70.932,3133133.0,15.32
130,2002,71.018,3105037.0,17.379999
131,2003,71.436,3084102.0,15.93
132,2004,71.421,3065745.0,15.63
133,2005,71.792,3047246.0,16.860001
134,2006,71.987,3026486.0,15.74
135,2007,72.327,3004393.0,16.969999
136,2008,72.398,2983421.0,16.940001
137,2009,72.813,2964296.0,16.540001
138,2010,73.16,2946293.0,15.92
139,2011,73.305,2928976.0,19.16
140,2012,73.454,2914421.0,19.59
141,2013,73.676,2901385.0,18.450001
142,2014,74.058,2889930.0,18.18
143,2015,74.436,2878595.0,18.66
144,2016,74.664,2865835.0,16.74
145,2017,74.906,2851923.0,19.49
146,2018,75.064,2836557.0,18.129999
