,year,life_exp,population,pm
3906,1998,76.5804878048781,275854000.0,12.2
3907,1999,76.5829268292683,279040000.0,11.84
3908,2000,76.6365853658537,282162411.0,11.84
3909,2001,76.8365853658537,284968955.0,11.54
3910,2002,76.9365853658537,287625193.0,11.3
3911,2003,77.0365853658537,290107933.0,11.0
3912,2004,77.4878048780488,292805298.0,10.59
3913,2005,77.4878048780488,295516599.0,11.49
3914,2006,77.6878048780488,298379912.0,10.21
3915,2007,77.9878048780488,301231207.0,10.5
3916,2008,78.0390243902439,304093966.0,9.5100002
3917,2009,78.390243902439,306771529.0,8.6300001
3918,2010,78.5414634146342,309327143.0,8.5600004
3919,2011,78.6414634146341,311583481.0,8.6599998
3920,2012,78.7414634146342,313877662.0,7.9200001
3921,2013,78.7414634146342,316059947.0,7.73
3922,2014,78.8414634146341,318386329.0,7.6799998
3923,2015,78.690243902439,320738994.0,7.3200002
3924,2016,78.5390243902439,323071755.0,6.6700001
3925,2017,78.5390243902439,325122128.0,6.96
3926,2018,78.6390243902439,326838199.0,7.0500002
