year,life_exp,population,pm
2004,73.9585365853659,5372280.0,20.6
2005,73.9048780487805,5372807.0,22.309999
2006,74.2048780487805,5373054.0,23.040001
2007,74.2073170731707,5374622.0,17.1
2008,74.7048780487805,5379233.0,16.940001
2009,74.909756097561,5386406.0,19.32
2010,75.1121951219512,5391428.0,20.540001
2011,75.9585365853659,5398384.0,21.74
2012,76.109756097561,5407579.0,18.780001
2013,76.4121951219512,5413393.0,18.559999
2014,76.8121951219512,5418649.0,16.67
2015,76.5634146341463,5423801.0,17.35
2016,77.1658536585366,5430798.0,15.99
2017,77.1658536585366,5439232.0,17.030001
2018,77.2658536585366,5446771.0,15.88
