,year,life_exp,population,pm
544,1998,73.619,320152.0,14.05
545,1999,73.863,327045.0,5.0100002
546,2000,74.08,333926.0,4.9099998
547,2001,74.276,340748.0,5.3899999
548,2002,74.426,347463.0,9.1599998
549,2003,74.561,354045.0,7.48
550,2004,74.65,360461.0,8.1999998
551,2005,74.731,366717.0,7.5
552,2006,74.783,372808.0,10.06
553,2007,74.818,378748.0,6.1199999
554,2008,74.84,384568.0,5.3499999
555,2009,74.846,390311.0,11.52
556,2010,74.849,396053.0,6.8600001
557,2011,74.858,401506.0,7.8000002
558,2012,74.827,406634.0,7.8499999
559,2013,74.799,411702.0,7.0
560,2014,74.779,416656.0,7.5900002
561,2015,74.75,421437.0,11.11
562,2016,74.733,425994.0,8.25
563,2017,74.722,430276.0,5.3200002
564,2018,74.712,434274.0,6.9699998
