,country,year,life_exp,population,pm
523,BRB,1998,73.728,263642.0,1.87
524,BRB,1999,74.039,264170.0,2.3699999
525,BRB,2000,74.089,264657.0,1.98
526,BRB,2001,74.247,265377.0,2.3599999
527,BRB,2002,74.366,266455.0,2.01
528,BRB,2003,74.472,267499.0,2.1700001
529,BRB,2004,74.727,268505.0,1.9299999
530,BRB,2005,74.89,269477.0,2.1600001
531,BRB,2006,75.068,270425.0,2.0599999
532,BRB,2007,75.342,271444.0,2.03
533,BRB,2008,75.447,272635.0,2.03
534,BRB,2009,75.678,273791.0,2.26
535,BRB,2010,75.712,274711.0,2.8299999
536,BRB,2011,75.917,275486.0,2.05
537,BRB,2012,76.099,276197.0,2.25
538,BRB,2013,76.275,276865.0,1.8099999
539,BRB,2014,76.476,277493.0,1.67
540,BRB,2015,76.65,278083.0,1.89
541,BRB,2016,76.815,278649.0,2.1099999
542,BRB,2017,76.936,279187.0,2.3099999
543,BRB,2018,77.067,279688.0,1.9
