,country,year,life_exp,population,pm
1565,GUY,1998,63.9,756697.0,4.98
1566,GUY,1999,64.17,758014.0,5.77
1567,GUY,2000,64.483,759051.0,4.8099999
1568,GUY,2001,64.788,759809.0,7.3600001
1569,GUY,2002,64.728,760323.0,6.3200002
1570,GUY,2003,64.6,760562.0,7.3899999
1571,GUY,2004,64.93,760424.0,6.5900002
1572,GUY,2005,65.132,759709.0,7.21
1573,GUY,2006,65.667,758367.0,6.4899998
1574,GUY,2007,66.254,756521.0,6.2399998
1575,GUY,2008,66.288,754150.0,7.4499998
1576,GUY,2009,66.563,751258.0,6.6799998
1577,GUY,2010,66.743,747932.0,7.6900001
1578,GUY,2011,66.982,744230.0,6.3800001
1579,GUY,2012,67.23,743966.0,6.4499998
1580,GUY,2013,67.473,747420.0,5.8499999
1581,GUY,2014,67.882,751115.0,5.46
1582,GUY,2015,68.201,755031.0,5.6999998
1583,GUY,2016,68.384,759087.0,6.1799998
1584,GUY,2017,68.667,763252.0,5.4099998
1585,GUY,2018,68.896,785514.0,5.1599998
