,year,life_exp,population,pm
3458,1998,74.8073170731708,1981629.0,19.68
3459,1999,75.009756097561,1983045.0,18.66
3460,2000,75.4121951219512,1988925.0,18.299999
3461,2001,75.7585365853659,1992060.0,19.68
3462,2002,76.0073170731707,1994530.0,20.26
3463,2003,76.8585365853659,1995733.0,20.59
3464,2004,77.2073170731707,1997012.0,18.67
3465,2005,77.6121951219512,2000474.0,20.58
3466,2006,78.0865853658537,2006868.0,20.35
3467,2007,78.5609756097561,2018122.0,16.379999
3468,2008,78.7658536585366,2021316.0,16.41
3469,2009,78.9707317073171,2039669.0,16.389999
3470,2010,79.4219512195122,2048583.0,17.719999
3471,2011,79.9707317073171,2052843.0,19.870001
3472,2012,80.1243902439024,2057159.0,16.219999
3473,2013,80.3219512195122,2059953.0,15.72
3474,2014,81.0780487804878,2061980.0,13.34
3475,2015,80.7756097560976,2063531.0,16.32
3476,2016,81.1756097560976,2065042.0,14.85
3477,2017,81.0292682926829,2066388.0,15.42
3478,2018,81.3780487804878,2073894.0,14.57
