year,life_exp,population,pm
1998,72.3258292682927,108537.0,1.61
1999,72.1968536585366,108599.0,2.0999999
2000,76.619512195122,108642.0,1.6900001
2001,77.6219512195122,108549.0,1.72
2002,77.5219512195122,108509.0,1.37
2003,77.5219512195122,108505.0,1.48
2004,77.7731707317073,108466.0,1.28
2005,77.4219512195122,108453.0,1.96
2006,78.3243902439024,108369.0,1.9
2007,76.8634146341463,108337.0,1.67
2008,77.1634146341463,108397.0,1.3200001
2009,77.5146341463415,108404.0,1.48
2010,77.8658536585366,108357.0,2.21
2011,78.3170731707317,108290.0,1.37
2012,78.5170731707317,108188.0,1.61
2013,78.7170731707317,108041.0,1.37
2014,78.8682926829268,107882.0,1.45
2015,79.0170731707317,107712.0,1.48
2016,79.1682926829268,107516.0,1.55
2017,79.3682926829268,107281.0,1.86
2018,79.5195121951219,107001.0,1.52
