,year,life_exp,population,pm
2723,1998,46.036,116690527.0,20.950001
2724,1999,46.614,119695565.0,18.309999
2725,2000,47.193,122851984.0,20.66
2726,2001,47.619,126152678.0,21.6
2727,2002,47.928,129583026.0,21.32
2728,2003,48.441,133119801.0,21.280001
2729,2004,48.767,136756848.0,22.41
2730,2005,49.297,140490722.0,22.41
2731,2006,49.73,144329764.0,21.280001
2732,2007,50.033,148294028.0,22.01
2733,2008,50.225,152382506.0,23.92
2734,2009,50.712,156595758.0,22.530001
2735,2010,50.945,160952853.0,23.709999
2736,2011,51.357,165463745.0,22.15
2737,2012,51.497,170075932.0,22.02
2738,2013,51.707,174726123.0,20.49
2739,2014,51.791,179379016.0,20.440001
2740,2015,51.841,183995785.0,20.450001
2741,2016,52.043,188666931.0,23.1
2742,2017,52.305,193495907.0,22.9
2743,2018,52.554,198387623.0,23.469999
