,year,life_exp,population,pm
2091,1998,72.944,4178784.0,14.55
2092,1999,73.49,4250020.0,14.61
2093,2000,73.931,4320642.0,18.049999
2094,2001,74.365,4389200.0,16.49
2095,2002,75.064,4446666.0,15.43
2096,2003,75.593,4504807.0,15.12
2097,2004,75.976,4574797.0,13.85
2098,2005,76.273,4643044.0,14.6
2099,2006,76.08,4719864.0,14.92
2100,2007,77.08,4809608.0,15.25
2101,2008,77.584,4887613.0,13.9
2102,2009,77.889,4951135.0,15.12
2103,2010,78.156,4995800.0,13.36
2104,2011,78.404,5045056.0,16.9
2105,2012,78.628,5178337.0,17.809999
2106,2013,78.765,5678851.0,16.23
2107,2014,78.973,6274342.0,15.11
2108,2015,79.229,6398940.0,16.610001
2109,2016,79.505,6258619.0,15.13
2110,2017,79.654,6109252.0,15.96
2111,2018,79.729,5950839.0,15.7
