year,life_exp,population,pm
1998,68.4073170731707,10071963.0,17.379999
1999,67.9073170731707,10026738.0,17.92
2000,68.9121951219512,9979610.0,15.65
2001,68.5073170731707,9928549.0,15.99
2002,68.0560975609756,9865548.0,19.110001
2003,68.5536585365854,9796749.0,15.53
2004,68.9560975609756,9730146.0,15.87
2005,68.8512195121951,9663915.0,15.47
2006,69.4048780487805,9604924.0,15.98
2007,70.2073170731707,9560953.0,14.36
2008,70.4560975609756,9527985.0,14.93
2009,70.4073170731707,9504583.0,16.51
2010,70.4048780487805,9483836.0,17.4
2011,70.5536585365854,9461643.0,15.2
2012,71.9658536585366,9446836.0,14.86
2013,72.4707317073171,9443211.0,15.55
2014,72.9707317073171,9448515.0,15.28
2015,73.6243902439025,9461076.0,13.28
2016,73.8268292682927,9469379.0,12.69
2017,74.1292682926829,9458989.0,12.91
2018,74.1756097560976,9438785.0,13.71
