,year,life_exp,population,pm
189,1998,77.6707317073171,7976789.0,16.23
190,1999,77.8756097560976,7992324.0,15.84
191,2000,78.1268292682927,8011566.0,14.94
192,2001,78.5756097560976,8042293.0,16.110001
193,2002,78.6780487804878,8081957.0,17.43
194,2003,78.6317073170732,8121423.0,17.67
195,2004,79.1804878048781,8171966.0,15.88
196,2005,79.3317073170732,8227829.0,18.209999
197,2006,79.8804878048781,8268641.0,17.719999
198,2007,80.1804878048781,8295487.0,13.39
199,2008,80.4317073170732,8321496.0,12.83
200,2009,80.3317073170732,8343323.0,14.17
201,2010,80.5804878048781,8363404.0,15.73
202,2011,80.9829268292683,8391643.0,15.54
203,2012,80.9365853658537,8429991.0,12.88
204,2013,81.1365853658537,8479823.0,14.27
205,2014,81.490243902439,8546356.0,12.3
206,2015,81.190243902439,8642699.0,12.3
207,2016,81.6414634146342,8736668.0,11.5
208,2017,81.6439024390244,8797566.0,11.94
209,2018,81.6926829268293,8840521.0,12.42
