year,life_exp,population,pm
2004,74.372,103945813.0,17.209999
2005,74.376,105442402.0,18.5
2006,74.331,106886790.0,17.379999
2007,74.238,108302973.0,17.129999
2008,74.152,109684489.0,16.559999
2009,74.119,111049428.0,16.34
2010,74.19,112532401.0,15.45
2011,74.365,114150481.0,17.299999
2012,74.574,115755909.0,16.540001
2013,74.739,117290686.0,17.379999
2014,74.797,118755887.0,15.79
2015,74.682,120149897.0,16.620001
2016,74.412,121519221.0,16.15
2017,74.138,122839258.0,16.6
2018,74.015,124013861.0,15.42
