year,life_exp,population,pm
1998,76.1804878048781,3712696.0,6.1100001
1999,76.0829268292683,3754786.0,5.6999998
2000,76.5365853658537,3805174.0,5.4400001
2001,77.1341463414634,3866243.0,6.73
2002,77.6341463414634,3931947.0,5.9899998
2003,78.1390243902439,3996521.0,7.4099998
2004,78.5390243902439,4070262.0,5.0500002
2005,78.9439024390244,4159914.0,5.6900001
2006,79.2414634146342,4273591.0,5.4299998
2007,79.6414634146341,4398942.0,5.9499998
2008,80.0951219512195,4489544.0,5.54
2009,80.190243902439,4535375.0,5.3800001
2010,80.7439024390244,4560155.0,6.6300001
2011,80.7463414634146,4580084.0,5.54
2012,80.8463414634146,4599533.0,5.4699998
2013,80.9487804878049,4623816.0,6.4099998
2014,81.3487804878049,4657740.0,5.04
2015,81.4536585365854,4701957.0,4.5900002
2016,81.6536585365854,4755335.0,4.9400001
2017,82.1560975609756,4807388.0,4.1799998
2018,82.2048780487805,4867316.0,4.79
