year,life_exp,population,pm
2004,60.027,10698691.0,4.4400001
2005,60.915,10974057.0,4.77
2006,61.75,11263387.0,5.0300002
2007,62.543,11563869.0,4.7399998
2008,63.242,11872929.0,4.9200001
2009,63.923,12195029.0,5.2399998
2010,64.615,12530121.0,5.6399999
2011,65.262,12875880.0,4.9899998
2012,65.457,13231833.0,5.2399998
2013,66.072,13595566.0,4.96
2014,66.452,13970308.0,4.8699999
2015,66.879,14356181.0,5.4499998
2016,67.497,14751356.0,4.79
2017,67.75,15157793.0,5.0
2018,68.097,15574909.0,4.4699998
