year,life_exp,population,pm
1998,56.218,6584183.0,15.09
1999,56.526,6788589.0,14.63
2000,56.578,6998023.0,16.24
2001,56.66,7212041.0,16.860001
2002,56.606,7431783.0,16.48
2003,56.738,7659208.0,17.719999
2004,56.826,7894554.0,18.75
2005,57.125,8149419.0,19.15
2006,57.456,8402631.0,17.27
2007,57.675,8647761.0,18.200001
2008,57.869,8906469.0,18.889999
2009,57.956,9172514.0,17.99
2010,58.363,9445710.0,17.940001
2011,58.462,9726380.0,17.25
2012,58.716,10014078.0,16.09
2013,58.965,10308730.0,15.15
2014,59.125,10614844.0,15.25
2015,59.377,10932783.0,15.66
2016,59.539,11260085.0,17.09
2017,59.856,11596779.0,17.23
2018,60.14,11940683.0,16.719999
