,country,year,life_exp,population,pm
252,BEL,1998,77.4731707317073,10203008.0,14.99
253,BEL,1999,77.619512195122,10226419.0,14.0
254,BEL,2000,77.7219512195122,10251250.0,12.65
255,BEL,2001,77.9731707317073,10286570.0,12.51
256,BEL,2002,78.0756097560976,10332785.0,12.58
257,BEL,2003,78.1292682926829,10376133.0,14.62
258,BEL,2004,78.8780487804878,10421137.0,12.85
259,BEL,2005,78.9804878048781,10478617.0,12.44
260,BEL,2006,79.380487804878,10547958.0,13.31
261,BEL,2007,79.7829268292683,10625700.0,15.03
262,BEL,2008,79.6804878048781,10709973.0,14.44
263,BEL,2009,80.0341463414634,10796493.0,15.62
264,BEL,2010,80.1829268292683,10895586.0,15.63
265,BEL,2011,80.5853658536585,11038264.0,14.82
266,BEL,2012,80.3853658536585,11106932.0,13.04
267,BEL,2013,80.5878048780488,11159407.0,14.03
268,BEL,2014,81.2878048780488,11209057.0,11.23
269,BEL,2015,80.9926829268293,11274196.0,10.75
270,BEL,2016,81.4390243902439,11331422.0,10.71
271,BEL,2017,81.4926829268293,11375158.0,10.23
272,BEL,2018,81.5951219512195,11427054.0,10.78
