year,life_exp,population,pm
2004,78.8780487804878,10421137.0,12.85
2005,78.9804878048781,10478617.0,12.44
2006,79.380487804878,10547958.0,13.31
2007,79.7829268292683,10625700.0,15.03
2008,79.6804878048781,10709973.0,14.44
2009,80.0341463414634,10796493.0,15.62
2010,80.1829268292683,10895586.0,15.63
2011,80.5853658536585,11038264.0,14.82
2012,80.3853658536585,11106932.0,13.04
2013,80.5878048780488,11159407.0,14.03
2014,81.2878048780488,11209057.0,11.23
2015,80.9926829268293,11274196.0,10.75
2016,81.4390243902439,11331422.0,10.71
2017,81.4926829268293,11375158.0,10.23
2018,81.5951219512195,11427054.0,10.78
