year,life_exp,population,pm
1998,58.407,515959.0,5.2800002
1999,58.781,526443.0,5.04
2000,58.757,536758.0,5.1700001
2001,59.163,547741.0,5.5799999
2002,59.056,559047.0,4.4299998
2003,59.258,570130.0,5.1900001
2004,59.48,581154.0,4.4000001
2005,59.604,592683.0,5.0500002
2006,59.875,604658.0,6.0300002
2007,60.102,616899.0,6.3699999
2008,60.475,629470.0,5.0799999
2009,60.831,642493.0,6.0700002
2010,61.123,656024.0,5.73
2011,61.503,670071.0,6.23
2012,61.834,684553.0,5.5599999
2013,62.224,699393.0,6.0799999
2014,62.516,714612.0,4.48
2015,62.896,730216.0,4.98
2016,63.237,746232.0,5.5100002
2017,63.625,761664.0,5.9200001
2018,63.912,776313.0,5.5
