,year,life_exp,population,pm
3208,1998,71.879,20472580.0,16.77
3209,1999,72.136,21009660.0,18.84
3210,2000,72.467,21547390.0,20.440001
3211,2001,72.974,22085929.0,17.200001
3212,2002,73.337,22623415.0,18.27
3213,2003,73.628,23150847.0,17.450001
3214,2004,74.153,23661808.0,16.120001
3215,2005,74.588,24397644.0,17.84
3216,2006,74.81,25382870.0,20.49
3217,2007,75.046,26400068.0,20.41
3218,2008,75.274,27437353.0,21.99
3219,2009,75.431,28483797.0,22.709999
3220,2010,75.763,29411929.0,23.51
3221,2011,76.234,30150945.0,24.68
3222,2012,76.461,30821543.0,25.17
3223,2013,76.626,31482498.0,22.030001
3224,2014,76.757,32125564.0,24.83
3225,2015,76.918,32749848.0,25.030001
3226,2016,77.064,33416270.0,24.07
3227,2017,77.16,34193122.0,26.440001
3228,2018,77.212,35018133.0,24.76
