,year,life_exp,population,pm
2849,1998,72.97,2279727.0,9.9799995
2850,1999,73.184,2312600.0,10.39
2851,2000,73.466,2344253.0,11.38
2852,2001,73.808,2374653.0,10.02
2853,2002,73.869,2403659.0,11.03
2854,2003,74.14,2431600.0,9.1800003
2855,2004,74.329,2468855.0,9.3000002
2856,2005,74.396,2515192.0,9.4799995
2857,2006,74.48,2560649.0,12.47
2858,2007,74.461,2605700.0,10.82
2859,2008,74.612,2651028.0,12.46
2860,2009,74.681,2697537.0,13.64
2861,2010,76.269,2881914.0,12.65
2862,2011,76.608,3206870.0,12.37
2863,2012,77.061,3535579.0,13.46
2864,2013,77.246,3816680.0,12.82
2865,2014,77.446,4009267.0,13.25
2866,2015,77.687,4191776.0,12.52
2867,2016,77.916,4398070.0,12.96
2868,2017,77.924,4541854.0,11.83
2869,2018,77.966,4601157.0,13.03
