year,life_exp,population,pm
1998,52.382,629734.0,22.85
1999,52.752,655029.0,19.139999
2000,53.226,684977.0,25.08
2001,53.636,719270.0,25.450001
2002,54.085,754115.0,24.219999
2003,54.581,789681.0,24.16
2004,55.036,826355.0,25.719999
2005,55.464,864726.0,22.370001
2006,56.046,905418.0,21.01
2007,56.54,948814.0,25.24
2008,57.074,994971.0,27.66
2009,57.431,1043686.0,25.57
2010,57.878,1094524.0,27.549999
2011,58.412,1144588.0,26.23
2012,58.865,1193636.0,24.49
2013,59.224,1243941.0,27.139999
2014,59.595,1295183.0,24.0
2015,60.103,1346973.0,26.030001
2016,60.479,1398927.0,27.6
2017,60.821,1450694.0,25.68
2018,61.191,1502091.0,26.09
