,year,life_exp,population,pm
817,1998,66.993,440214.0,2.71
818,1999,67.569,449627.0,2.74
819,2000,68.618,458251.0,2.4200001
820,2001,69.929,465958.0,2.21
821,2002,70.705,473231.0,1.99
822,2003,71.429,480089.0,2.3199999
823,2004,71.999,486583.0,2.04
824,2005,72.68,492827.0,2.3
825,2006,72.239,498884.0,2.27
826,2007,72.835,504733.0,2.1500001
827,2008,72.508,510336.0,2.1199999
828,2009,73.088,515638.0,1.9299999
829,2010,73.499,521212.0,2.24
830,2011,74.257,527521.0,1.83
831,2012,74.484,533864.0,1.84
832,2013,75.059,539940.0,1.92
833,2014,75.24,546076.0,1.65
834,2015,74.62,552166.0,2.05
835,2016,75.742,558394.0,1.87
836,2017,76.593,564954.0,2.01
837,2018,75.733,571202.0,2.04
