,country,year,life_exp,population,pm
0,ABW,1998,73.491,84355.0,2.5
1,ABW,1999,73.561,86867.0,3.6099999
2,ABW,2000,73.569,89101.0,2.4000001
3,ABW,2001,73.647,90691.0,2.48
4,ABW,2002,73.726,91781.0,2.22
5,ABW,2003,73.752,92701.0,3.0899999
6,ABW,2004,73.576,93540.0,2.99
7,ABW,2005,73.811,94483.0,3.48
8,ABW,2006,74.026,95606.0,2.79
9,ABW,2007,74.21,96787.0,2.99
10,ABW,2008,74.147,97996.0,3.3900001
11,ABW,2009,74.56,99212.0,2.4200001
12,ABW,2010,75.404,100341.0,4.8200002
13,ABW,2011,75.465,101288.0,3.27
14,ABW,2012,75.531,102112.0,2.98
15,ABW,2013,75.636,102880.0,2.5899999
16,ABW,2014,75.601,103594.0,2.1600001
17,ABW,2015,75.683,104257.0,2.26
18,ABW,2016,75.617,104874.0,2.99
19,ABW,2017,75.903,105439.0,2.99
20,ABW,2018,76.072,105962.0,2.4000001
