,year,life_exp,population,pm
2322,1998,66.018,27791825.0,8.0799999
2323,1999,66.406,28176997.0,8.8199997
2324,2000,66.787,28554415.0,7.0900002
2325,2001,67.18,28930097.0,7.5
2326,2002,67.547,29301817.0,7.8099999
2327,2003,67.915,29661270.0,7.5900002
2328,2004,68.231,30033125.0,7.25
2329,2005,68.704,30431902.0,8.54
2330,2006,69.128,30833022.0,8.4499998
2331,2007,69.604,31232633.0,8.6400003
2332,2008,70.048,31634992.0,7.3899999
2333,2009,70.458,32042877.0,6.9000001
2334,2010,70.829,32464865.0,6.8699999
2335,2011,71.269,32903699.0,7.3099999
2336,2012,71.679,33352169.0,7.2600002
2337,2013,72.122,33803527.0,8.1099997
2338,2014,72.538,34248603.0,6.6500001
2339,2015,72.92,34680458.0,8.4499998
2340,2016,73.284,35107264.0,7.29
2341,2017,73.66,35528115.0,6.73
2342,2018,73.986,35927511.0,7.73
